Item UUID,POS Code,External SKU,Name,Description,Price,Category,Image URL,Available,Dietary Tags
7cddcbf9-8a9d-40fd-a0f8-4d637653fb78,48,,Aqua Carpatica Minerala 500ml,,14,BAR DELIVERY,,Yes,
2006b633-090b-437d-a7d2-c191bf07768e,49,,Aqua Carpatica plata 500ml,,14,BAR DELIVERY,,Yes,
fb22dd95-095c-4fb4-bf12-07a22c6156d3,50,,Grivita Gold 500ml,,26,BAR DELIVERY,,Yes,
606d4640-607b-422d-b3a7-a26151643fd9,51,,Grivita Hawaiipa 500ml,,30,BAR DELIVERY,,Yes,
a7480485-b9d9-43d9-9fa3-c659d0b2992d,54,,Prosecco 200ml,,42,BAR DELIVERY,,Yes,
96e67416-d93c-44dd-87ff-08b1eb24def3,55,,Lemonade 600ml,,21,BAR DELIVERY,,Yes,
483403e0-3179-4953-9cd6-304145504248,58,,Pop Cola 330ml,,14,BAR DELIVERY,,Yes,
8bc4fcca-0924-47e2-a2bb-2ed9ccba2902,134,,Jumex 473ml,,20,BAR DELIVERY,,Yes,
8072916c-4e73-46ab-93f8-4aa6f7c9f8fa,173,,Pepsi 330ml,,14,BAR DELIVERY,,Yes,
0184fc85-fe0b-43df-bd5f-93c286bd14f3,182,,Grivita Clasic 330ml,,19,BAR DELIVERY,,Yes,
72129668-2329-4c16-8b58-020f8ea65e7a,206,,Recas rosu 187ml,,28,BAR DELIVERY,,Yes,
3823c992-9802-4ba1-8f5a-c7294f7f8189,207,,Recas alb 187ml,,28,BAR DELIVERY,,Yes,
51540245-dd48-47d9-b9e4-a0034d519679,216,,Apa minerala aroma 330ml,,15,BAR DELIVERY,,Yes,
f6ae0e5d-f452-4ac7-9e3b-a3784001157f,170,,7 UP 330ml,,14,BAR DELIVERY,,Yes,
dc50840b-2c77-4947-959f-98f1c6af3d54,229,,Mirinda 330ml,,14,BAR DELIVERY,,Yes,
9cc09c6f-ab33-4fd6-8098-554898e2586f,234,,Grivita FA 330ml,,19,BAR DELIVERY,,Yes,
78a82d31-3374-4e38-b707-086c572357f6,11,,Pastrami Classic 350g,,66,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/728da44e-21b1-4f01-b91f-5fe999ebf7b8.webp,Yes,
13ea680c-ac97-46e8-9cca-6b2c1d09c05e,12,,Pastrami Reuben 490g,,72,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/5f49d8c2-d4da-489f-b9ed-4aa822f8a773.webp,Yes,
95d26e2f-31d2-4bf2-9792-9cf9d33d37e0,13,,Pastrami In House 420g,,70,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/042391e6-80e3-499d-a2a8-5a30ad06233a.webp,Yes,
ca926eaf-0a88-405b-aa93-4b3ad741c177,14,,Turkey Pastrami Classic 350g,,58,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/007e7d60-c787-4205-a10d-a54ab4f4ce1f.webp,Yes,
af5bb893-446b-4411-967f-5f3c18e8b87a,15,,Turkey Pastrami In House 420g,,62,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/2fa781c3-dac4-4303-9469-7a18bd3d71c3.webp,Yes,
40119be3-7115-4b96-8c1f-14e821fe969e,16,,Homemade Classic Sausages 350g,,50,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/0b91d27e-f5b0-4a44-8ec2-f46ee4bfb312.webp,Yes,
6091876f-1609-4005-869c-11f45467c1b4,17,,Homemade Spicy Sausages 400g,,54,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/0751513b-af73-4b9b-aaf4-320484ab098e.webp,Yes,
5c6b0ae6-cdca-49b6-ab27-6620f5aace94,25,,Homemade Sausages In House 400g,,54,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/2242e547-fc59-47b9-8b2f-f4ea04ed2d36.webp,Yes,
ba9595dc-cfcc-4cf7-9f66-0a89439c12d4,32,,Pljeskavica 420g,,52,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/2eaa5781-5d76-4767-b17e-b080ae4f0c4d.webp,Yes,
3161838d-718c-46ef-998c-b1a8395979e1,44,,Pastrami poutine 400g,,58,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/bd04c543-f9c4-4805-b1a6-8081a4ed648f.webp,Yes,
a7bf7db4-9f09-4315-8a96-98e883c04b42,65,,Pastrami Classic 350g,,83,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/c20a71d0-8bbb-446a-899f-32656a1eca08.webp,Yes,
f86e8df0-4d0c-462f-aff5-86df12a33922,66,,Pastrami Reuben 490g,,90,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/5b7eaa0d-0927-41a9-b76a-497612ba6de4.webp,Yes,
bcf0d1c8-5165-49d0-9d59-34b12ce94933,67,,Pastrami In House 420g,,88,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/1f3caf69-01cd-4d9f-9cf2-246499a08e77.webp,Yes,
894fdfb8-fb77-400b-ab44-b0074d992431,68,,Turkey Pastrami Classic 350g,,73,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/1d060d4b-566e-44e7-887c-126aba4f9143.webp,Yes,
647ab989-0bcb-4484-905d-d97f278ef286,69,,Turkey Pastrami In House 420g,,78,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/f15ca254-b606-4ee7-9fdd-ed1204164d60.webp,Yes,
6afb837c-7bdb-41b2-8cb6-e0bc82887997,70,,Homemade Classic Sausages 350g,,63,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/efc7984c-79a7-4455-97e9-4e8f83a4e405.webp,Yes,
61fa0fb7-b5b3-4268-8697-368a301f366b,71,,Homemade Spicy Sausages 400g,,68,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/7325161a-6080-404b-874e-37abbe66fd60.webp,Yes,
98bf55f1-b182-4972-a077-5fb8304187e7,72,,Homemade Sausages In House 400g,,68,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/3bde2d3f-025a-4629-ba5f-afe27f8372df.webp,Yes,
a80fe978-2dbf-4e40-a2b9-c12862222d53,73,,Pljeskavica 420g,,65,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/f59e5a5b-424a-4c8f-9459-2600da447675.webp,Yes,
b355f7c7-bc21-4485-8832-be147c71ce7a,74,,Pastrami poutine 400g,,73,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/38a82878-95d9-4181-acaf-d506da8bc19d.webp,Yes,
4529d049-fdde-4344-b1ee-7989307690f6,46,,Turkey Pastrami Poutine 400g,,56,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/93bcb4ea-9f5b-43f7-9825-d8afdd7f7787.webp,Yes,
d3ae6c61-dba3-49d8-80d1-e69fb7ad987d,64,,Turkey Pastrami Poutine 400g,,70,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/85cd9425-4a94-4a1e-aa09-e93dc504e9cc.webp,Yes,
773ca53a-19e9-47b9-b7e8-9ebca33c0d05,97,,Extra Curcan 50g,,15,BUCATARIE DELIVERY > CARNE,,Yes,
812fbd51-d96b-4a0a-8ee9-080762cc0010,98,,Extra Vita 50g,,19,BUCATARIE DELIVERY > CARNE,,Yes,
e4483d79-95db-4a9d-a12f-9c3a6439a18b,119,,Carnati 100g,,14,BUCATARIE DELIVERY > CARNE,,Yes,
424a7969-56d9-4778-a271-0f269e5249d0,120,,Sandwich mici mustar 360g,,50,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/1b36eb86-bafa-45ae-8b45-cfa180b3d729.webp,Yes,
f8baf89f-9264-4aff-b5c2-4ee52f71e605,121,,Sandwich mici sos trufe 360g,,54,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/0c10b5b0-71ba-4a73-9ecf-13570b2ee1a2.webp,Yes,
ca511dcc-3933-419e-8552-6a8954cca8b2,122,,Sandwich mici mustar 360g,,63,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/22a4823c-84b5-4a51-9899-5ea5e00273d0.webp,Yes,
7784c9b3-6403-4539-8d12-60c71dae11ab,123,,Sandwich mici sos trufe 360g,,68,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/d1d17772-4a42-44dc-ad86-438b83272339.webp,Yes,
bde9a7bc-abfa-4d62-9505-0b6032e7a047,136,,Pljeskavica Spicy 450g,,52,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/5a8a7dd7-f9ea-417b-9596-537de3bdf434.webp,Yes,
964d4bfe-47f4-4f08-8765-a918664cda20,137,,Pljeskavica Spicy 450g,,65,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/5d99e7f3-192d-48a6-a9af-9f0244204f1e.webp,Yes,
59b2950e-d3d9-40a0-8648-c113eba23ea1,152,,Burger In House cu cartofi 450g,,58,BUCATARIE DELIVERY > CARNE,,Yes,
fbf09a30-bd72-40cb-ac5d-70846541d5d7,156,,Burger In House cu cartofi 450g,,73,BUCATARIE DELIVERY > CARNE,,Yes,
5a183531-28bc-4ba8-81da-ce932528e00a,177,,Extra Vita 50g,,24,BUCATARIE DELIVERY > CARNE,,Yes,
6ddfbecd-27c2-4ed4-bcab-2fff5322a5e0,178,,Extra Curcan 50g,,19,BUCATARIE DELIVERY > CARNE,,Yes,
1661ee0e-97c3-4916-ac04-f184f8a55f23,187,,Pulled Beef 420g,,64,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/336c31db-ffba-4cf3-944c-53bceb0b83f0.webp,Yes,
fb94be43-8082-400a-bad7-bbbccfca2b11,188,,Philly Cheesesteak 480g,,78,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/a4623e5c-fb81-4184-9d7c-383609426aa0.webp,Yes,
4e773c9b-bb5b-41b4-841f-bd7bc6032724,189,,Burger sos trufe cartofi 450g,,62,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/0ff7132d-39e6-46db-81a8-33e91f3e8003.webp,Yes,
a5239f3d-2313-41f0-b72c-c7922320d6b6,190,,Burger Fresh cartofi 420g,,56,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/ceba9ad3-fa9c-4882-9a7c-91ad265137e3.webp,Yes,
a2a0bd2f-48c2-4f3c-b47a-585aad5523d3,191,,Burger Vegan cartofi 420g,,62,BUCATARIE DELIVERY > CARNE,,Yes,
3151ae1e-869f-4b3d-b29b-7e2fc6a16952,196,,Pulled Beef 420g,,80,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/15fa3f83-4eec-41e3-b748-362b4070f5a9.webp,Yes,
330b18ac-2542-4e3b-ae59-79f4cd692556,197,,Philly Cheesesteak 480g,,98,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/44e7a65c-8cac-4061-acb2-189e34f37ede.webp,Yes,
352a78a6-4841-4553-ba95-7b5d72aeaf5e,198,,Burger sos trufe cartofi 450g,,78,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/734e254c-1066-416b-be44-2b3698f7f988.webp,Yes,
4531bb5f-8017-40aa-99c6-707e59e27355,199,,Burger Fresh cartofi 420g,,70,BUCATARIE DELIVERY > CARNE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/02f2a4db-d2d4-49b8-918c-17cd0bb8a687.webp,Yes,
81bef764-9b5d-46d1-a10f-834ae82a2f48,200,,Burger Vegan cartofi 420g,,78,BUCATARIE DELIVERY > CARNE,,Yes,
d29825bb-d151-4c87-bf19-1314813cf33e,19,,Salata Coleslaw 150g,,17,BUCATARIE DELIVERY > SALATE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/d43250ad-998b-4fd7-93ce-b6714f2227be.webp,Yes,
ce1737b3-59a5-4adc-aec8-87d1a02d3c89,22,,Cartofi prajiti 150g,,17,BUCATARIE DELIVERY > SALATE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/d338db6c-92d9-4d2e-b44d-598d5b888846.webp,Yes,
8cde285e-f709-46dd-a15a-14f264de8f9c,23,,Cartofi prajiti parmezan 180g,,21,BUCATARIE DELIVERY > SALATE,,Yes,
a91e7e32-7043-48e5-96b6-208e3dcec9cb,31,,Salata Pastrami 350g,,40,BUCATARIE DELIVERY > SALATE,https://nuphkirzrdefeqpshxli.supabase.co/storage/v1/object/public/menu-media/c00bd551-41b8-4eb6-b48b-8ba0eb9dd422/001d2330-abf0-4738-a1f1-38f1b3c4b3c6.webp,Yes,
